arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_sidecar_encode_us,repetition,source_revalidation_us,sidecar_decode_us,total_validated_reuse_us,full_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,27,94738,56122,150861,66116,fresh_exec_per_arm,reuse_then_a1,60999,61060,61056,74486,160183,697,151558
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,28,99419,53916,153337,81954,fresh_exec_per_arm,a1_then_reuse,60999,61061,61080,90415,163146,754,154091
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,29,131630,52745,184376,57350,fresh_exec_per_arm,reuse_then_a1,60999,61094,61091,64542,194423,804,185181
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,0,383103,221778,604882,261191,fresh_exec_per_arm,a1_then_reuse,61120,61121,61122,299604,633680,3024,607907
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,1,416658,205925,622585,234418,fresh_exec_per_arm,reuse_then_a1,61120,61125,61124,255313,650097,2821,625406
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,2,440449,213300,653750,269637,fresh_exec_per_arm,a1_then_reuse,61120,61126,61127,302652,683370,2846,656596
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,3,358582,208249,566832,235623,fresh_exec_per_arm,reuse_then_a1,61120,61129,61128,256520,595192,2745,569578
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,4,366197,227923,594121,234358,fresh_exec_per_arm,a1_then_reuse,61120,61130,61131,256570,624594,2560,596682
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,5,397378,230933,628313,241589,fresh_exec_per_arm,reuse_then_a1,61120,61163,61156,262778,657781,2779,631093
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,6,389948,204067,594016,233657,fresh_exec_per_arm,a1_then_reuse,61120,61167,61168,254291,622191,2696,596713
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,7,352220,221281,573502,235341,fresh_exec_per_arm,reuse_then_a1,61120,61192,61191,261560,602496,2793,576296
