arm,workload,cache_state,entities,fields,source_sha256,source_bytes,physical_read_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,repetition,order,source_known_us,first_source_preview_us,semantic_current_us
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,7,A1-first,,,112709
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,8,A0-first,,,112292
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,8,A0-first,132,282,59404
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,9,A1-first,120,264,57976
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,9,A1-first,,,113234
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,10,A0-first,,,110838
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,10,A0-first,179,353,96694
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,11,A1-first,109,269,57767
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,11,A1-first,,,110907
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,12,A0-first,,,112246
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,12,A0-first,112,260,57516
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,13,A1-first,104,239,57443
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,13,A1-first,,,110782
